ENSG00000144410	ENSG00000148218	Pathogenic
ENSG00000204217	ENSG00000074181	Pathogenic
ENSG00000114166	ENSG00000148700	Pathogenic
ENSG00000198569	ENSG00000131183	Pathogenic
ENSG00000138061	ENSG00000120156	Pathogenic
ENSG00000160183	ENSG00000165474	Pathogenic
ENSG00000120008	ENSG00000101292	Pathogenic
ENSG00000116039	ENSG00000105929	Pathogenic
ENSG00000142173	ENSG00000171714	Pathogenic
ENSG00000213523	ENSG00000011275	Pathogenic
ENSG00000148606	ENSG00000077782	Pathogenic
ENSG00000171316	ENSG00000175325	Pathogenic
ENSG00000168621	ENSG00000165731	Pathogenic
ENSG00000161011	ENSG00000116001	Pathogenic
ENSG00000110076	ENSG00000179915	Pathogenic
ENSG00000132781	ENSG00000116062	Pathogenic
ENSG00000126602	ENSG00000103313	Pathogenic
ENSG00000158955	ENSG00000178295	Pathogenic
ENSG00000171560	ENSG00000171564	Pathogenic
ENSG00000137857	ENSG00000140279	Pathogenic
ENSG00000081052	ENSG00000188153	Pathogenic
ENSG00000081052	ENSG00000169031	Pathogenic
ENSG00000165731	ENSG00000136160	Pathogenic
ENSG00000077782	ENSG00000101292	Pathogenic
ENSG00000174483	ENSG00000160050	Pathogenic
ENSG00000144191	ENSG00000170289	Pathogenic
ENSG00000135604	ENSG00000180644	Pathogenic
ENSG00000092929	ENSG00000076944	Pathogenic
ENSG00000183918	ENSG00000092929	Pathogenic
ENSG00000180644	ENSG00000092929	Pathogenic
ENSG00000092929	ENSG00000101966	Pathogenic
ENSG00000076944	ENSG00000180644	Pathogenic
ENSG00000174483	ENSG00000140463	Pathogenic
ENSG00000174483	ENSG00000125124	Pathogenic
ENSG00000125124	ENSG00000125863	Pathogenic
ENSG00000112769	ENSG00000092054	Pathogenic
ENSG00000104044	ENSG00000077498	Pathogenic
ENSG00000189171	ENSG00000188015	Pathogenic
ENSG00000077782	ENSG00000075213	Pathogenic
ENSG00000240505	ENSG00000071564	Pathogenic
ENSG00000160789	ENSG00000102119	Pathogenic
ENSG00000179941	ENSG00000181004	Pathogenic
ENSG00000174483	ENSG00000181004	Pathogenic
ENSG00000179941	ENSG00000125863	Pathogenic
ENSG00000164404	ENSG00000100918	Pathogenic
ENSG00000213930	ENSG00000183770	Pathogenic
ENSG00000106410	ENSG00000077935	Pathogenic
ENSG00000183733	ENSG00000164404	Pathogenic
ENSG00000053918	ENSG00000055118	Pathogenic
ENSG00000140463	ENSG00000138686	Pathogenic
ENSG00000125124	ENSG00000138686	Pathogenic
ENSG00000137474	ENSG00000107736	Pathogenic
ENSG00000164199	ENSG00000137474	Pathogenic
ENSG00000107736	ENSG00000006611	Pathogenic
ENSG00000042781	ENSG00000137474	Pathogenic
ENSG00000095397	ENSG00000164199	Pathogenic
ENSG00000119139	ENSG00000136881	Pathogenic
ENSG00000116688	ENSG00000104381	Pathogenic
ENSG00000139515	ENSG00000162992	Pathogenic
ENSG00000140521	ENSG00000107815	Pathogenic
ENSG00000204264	ENSG00000100567	Pathogenic
ENSG00000240065	ENSG00000159377	Pathogenic
ENSG00000067842	ENSG00000101680	Pathogenic
ENSG00000011201	ENSG00000101292	Pathogenic
ENSG00000042781	ENSG00000186862	Pathogenic
ENSG00000164199	ENSG00000186862	Pathogenic
ENSG00000135424	ENSG00000078814	Pathogenic
ENSG00000140463	ENSG00000125124	Pathogenic
ENSG00000065618	ENSG00000196878	Pathogenic
ENSG00000185345	ENSG00000158828	Pathogenic
ENSG00000110324	ENSG00000167207	Pathogenic
ENSG00000188153	ENSG00000169031	Pathogenic
ENSG00000163359	ENSG00000142156	Pathogenic
ENSG00000165474	ENSG00000188910	Pathogenic
ENSG00000135903	ENSG00000165474	Pathogenic
ENSG00000160973	ENSG00000156925	Pathogenic
ENSG00000136698	ENSG00000156574	Pathogenic
ENSG00000183072	ENSG00000156925	Pathogenic
ENSG00000168216	ENSG00000116984	Pathogenic
ENSG00000125084	ENSG00000117385	Pathogenic
ENSG00000158813	ENSG00000135925	Pathogenic
ENSG00000101292	ENSG00000109163	Pathogenic
ENSG00000138079	ENSG00000021488	Pathogenic
ENSG00000138061	ENSG00000034971	Pathogenic
ENSG00000181004	ENSG00000125124	Pathogenic
ENSG00000113492	ENSG00000114650	Pathogenic
ENSG00000183873	ENSG00000130529	Pathogenic
ENSG00000162337	ENSG00000188107	Pathogenic
ENSG00000105697	ENSG00000010704	Pathogenic
ENSG00000114026	ENSG00000132781	Pathogenic
ENSG00000175084	ENSG00000160789	Pathogenic
ENSG00000179270	ENSG00000183638	Pathogenic
ENSG00000077782	ENSG00000109163	Pathogenic
ENSG00000077782	ENSG00000107831	Pathogenic
ENSG00000158022	ENSG00000138100	Pathogenic
ENSG00000163421	ENSG00000109163	Pathogenic
ENSG00000053918	ENSG00000183873	Pathogenic
ENSG00000135100	ENSG00000101076	Pathogenic
ENSG00000116014	ENSG00000101292	Pathogenic
ENSG00000116288	ENSG00000158828	Pathogenic
ENSG00000113971	ENSG00000144061	Pathogenic
ENSG00000131697	ENSG00000113971	Pathogenic
ENSG00000119509	ENSG00000113971	Pathogenic
ENSG00000170927	ENSG00000048342	Pathogenic
ENSG00000142166	ENSG00000159128	Pathogenic
ENSG00000153201	ENSG00000157184	Pathogenic
ENSG00000112619	ENSG00000149489	Pathogenic
ENSG00000100934	ENSG00000177239	Pathogenic
ENSG00000069431	ENSG00000155657	Pathogenic
ENSG00000096696	ENSG00000155657	Pathogenic
ENSG00000092054	ENSG00000162614	Pathogenic
ENSG00000203867	ENSG00000092054	Pathogenic
ENSG00000162614	ENSG00000155657	Pathogenic
ENSG00000130037	ENSG00000204217	Pathogenic
ENSG00000075891	ENSG00000126778	Pathogenic
ENSG00000186081	ENSG00000186847	Pathogenic
ENSG00000091137	ENSG00000177807	Pathogenic
ENSG00000136861	ENSG00000103995	Pathogenic
